Threads:  N:  Steps:  Time: 
  02     0110  0850   0.100396
  02     1000  2500   27.583182
  02     0500  1250   3.292774
  01     0500  1250   5.838788
  01     1000  2500   43.862511
  01     0110  0850   0.167252
  04     0110  0850   0.087336
  04     0500  1250   1.883703
  04     1000  2500   13.033504
  08     0110  0850   0.153414
  08     0500  1250   2.953612
  08     1000  2500   15.637421
  08     1000  2500   15.840014
  08     2000  5000   104.403592
  04     2000  5000   101.973676
  06     2000  5000   123.617180
  06     1000  2500   17.069466
  06     0500  1250   2.820067
  12     0500  1250   3.105359
  12     1000  2500   16.103547
  12     2000  5000   114.005330
